index,t,deaths_sim,date,0_y,13_y,20_y
98,98.0,16695.68,2020-06-26,,,
99,99.0,16920.1,2020-06-27,,,
100,100.0,17138.9,2020-06-28,,,
101,101.0,17352.05,2020-06-29,,,
102,102.0,17559.54,2020-06-30,,,
103,103.0,17761.34,2020-07-01,,,
104,104.0,17957.46,2020-07-02,,,
105,105.0,18147.92,2020-07-03,,,
106,106.0,18332.73,2020-07-04,,,
107,107.0,18511.94,2020-07-05,,,
108,108.0,18685.57,2020-07-06,,,
109,109.0,18853.69,2020-07-07,,,
110,110.0,19016.36,2020-07-08,,,
111,111.0,19173.63,2020-07-09,,,
112,112.0,19325.59,2020-07-10,,,
113,113.0,19472.31,2020-07-11,,,
114,114.0,19613.88,2020-07-12,,,
115,115.0,19750.39,2020-07-13,,,
116,116.0,19881.93,2020-07-14,,,
117,117.0,20008.61,2020-07-15,,,
118,118.0,20130.53,2020-07-16,,,
119,119.0,20247.79,2020-07-17,,,
120,120.0,20360.51,2020-07-18,,,
121,121.0,20468.79,2020-07-19,,,
122,122.0,20572.75,2020-07-20,,,
123,123.0,20672.5,2020-07-21,,,
124,124.0,20768.17,2020-07-22,,,
125,125.0,20859.85,2020-07-23,,,
126,126.0,20947.68,2020-07-24,,,
127,127.0,21031.76,2020-07-25,,,
128,128.0,21112.22,2020-07-26,,,
129,129.0,21189.17,2020-07-27,,,
130,130.0,21262.72,2020-07-28,,,
131,131.0,21332.99,2020-07-29,,,
132,132.0,21400.09,2020-07-30,,,
133,133.0,21464.13,2020-07-31,,,
134,134.0,21525.22,2020-08-01,,,
135,135.0,21583.47,2020-08-02,,,
136,136.0,21638.99,2020-08-03,,,
137,137.0,21691.87,2020-08-04,,,
138,138.0,21742.22,2020-08-05,,,
139,139.0,21790.14,2020-08-06,,,
140,140.0,21835.73,2020-08-07,,,
141,141.0,21879.08,2020-08-08,,,
142,142.0,21920.28,2020-08-09,,,
143,143.0,21959.42,2020-08-10,,,
144,144.0,21996.6,2020-08-11,,,
145,145.0,22031.88,2020-08-12,,,
146,146.0,22065.37,2020-08-13,,,
147,147.0,22097.12,2020-08-14,,,
148,148.0,22127.23,2020-08-15,,,
149,149.0,22155.77,2020-08-16,,,
150,150.0,22182.81,2020-08-17,,,
151,151.0,22208.41,2020-08-18,,,
152,152.0,22232.65,2020-08-19,,,
153,153.0,22255.58,2020-08-20,,,
154,154.0,22277.28,2020-08-21,,,
155,155.0,22297.8,2020-08-22,,,
156,156.0,22317.2,2020-08-23,,,
157,157.0,22335.53,2020-08-24,,,
158,158.0,22352.84,2020-08-25,,,
159,159.0,22369.19,2020-08-26,,,
160,160.0,22384.63,2020-08-27,,,
161,161.0,22399.19,2020-08-28,,,
162,162.0,22412.94,2020-08-29,,,
163,163.0,22425.9,2020-08-30,,,
164,164.0,22438.12,2020-08-31,,,
165,165.0,22449.64,2020-09-01,,,
166,166.0,22460.49,2020-09-02,,,
167,167.0,22470.71,2020-09-03,,,
168,168.0,22480.34,2020-09-04,,,
169,169.0,22489.4,2020-09-05,,,
170,170.0,22497.93,2020-09-06,,,
171,171.0,22505.96,2020-09-07,,,
172,172.0,22513.5,2020-09-08,,,
173,173.0,22520.6,2020-09-09,,,
174,174.0,22527.28,2020-09-10,,,
175,175.0,22533.55,2020-09-11,,,
176,176.0,22539.44,2020-09-12,,,
177,177.0,22544.98,2020-09-13,,,
178,178.0,22550.18,2020-09-14,,,
179,179.0,22555.06,2020-09-15,,,
180,180.0,22559.64,2020-09-16,,,
181,181.0,22563.94,2020-09-17,,,
182,182.0,22567.97,2020-09-18,,,
183,183.0,22571.76,2020-09-19,,,
184,184.0,22575.31,2020-09-20,,,
185,185.0,22578.63,2020-09-21,,,
186,186.0,22581.75,2020-09-22,,,
187,187.0,22584.67,2020-09-23,,,
188,188.0,22587.41,2020-09-24,,,
189,189.0,22589.98,2020-09-25,,,
190,190.0,22592.38,2020-09-26,,,
191,191.0,22594.63,2020-09-27,,,
192,192.0,22596.73,2020-09-28,,,
193,193.0,22598.7,2020-09-29,,,
194,194.0,22600.55,2020-09-30,,,
195,195.0,22602.27,2020-10-01,,,
196,196.0,22603.88,2020-10-02,,,
197,197.0,22605.39,2020-10-03,,,
198,198.0,22606.8,2020-10-04,,,
199,199.0,22608.12,2020-10-05,,,
